,ROI,nickname,lor_z,p,p_corr_01,reject_01
0,ventral,social,8.06476352679,6.66133814775e-16,3.02757818815e-15,True
1,dorsal,social,11.8490872755,0.0,0.0,True
2,ventral,attention,-0.913133019276,0.36117258617,0.198973261108,False
3,dorsal,attention,-0.629064086336,0.529307101149,0.274937231397,False
4,ventral,imagery,-2.6379972701,0.00833972532257,0.00659200897236,False
5,dorsal,imagery,-1.64531937364,0.0999039666263,0.0672686708617,False
14,ventral,spatial,-2.5188575709,0.011773627119,0.00856178164097,False
15,dorsal,spatial,-3.12513106376,0.00177725854344,0.00179503112888,False
24,ventral,reward,6.50898642558,7.56594786822e-11,2.29248220407e-10,True
25,dorsal,reward,3.08204988714,0.0020558038076,0.00196707964328,True
32,ventral,awareness,6.10802414,1.0087208846e-09,2.29231821025e-09,True
33,dorsal,awareness,6.0733107337,1.25299659537e-09,2.53105312265e-09,True
36,ventral,semantics,-0.3852198562,0.700074533286,0.326342436285,False
37,dorsal,semantics,-1.59554592562,0.110590208644,0.0718046426125,False
48,ventral,fear,5.38472877006,7.25539710533e-08,1.19911926704e-07,True
49,dorsal,fear,1.10971518527,0.267121777205,0.151758559674,False
50,ventral,categorization,-1.28629292166,0.198340851887,0.124339196114,False
51,dorsal,categorization,-0.393039778827,0.694290101476,0.326342436285,False
52,ventral,switching,-0.0821937713544,0.934492626427,0.424726898711,False
53,dorsal,switching,-0.707448577538,0.479287757953,0.256277983517,False
56,ventral,language,-3.48943999689,0.000484033711323,0.000517631345403,False
57,dorsal,language,-2.61213263778,0.00899793372515,0.0068159347968,False
62,ventral,inhibition,-1.14032414772,0.254151281085,0.151758559674,False
63,dorsal,inhibition,0.399823135239,0.689286789408,0.326342436285,False
64,ventral,math,-4.30820482502,1.6458493598e-05,2.06986173993e-05,False
65,dorsal,math,-4.30002262692,1.70780671611e-05,2.06986173993e-05,False
78,ventral,decision-making,46.2645409192,0.0,0.0,True
79,dorsal,decision-making,25.6025731826,0.0,0.0,True
80,ventral,reading,-5.48643570222,4.10124605388e-08,7.45606532595e-08,False
81,dorsal,reading,-4.79956467032,1.59010885192e-06,2.40901491066e-06,False
92,ventral,learning,1.12175894542,0.261964946304,0.151758559674,False
93,dorsal,learning,-0.530269531177,0.595925068621,0.300942159654,False
94,ventral,WM,-4.36404745437,1.27677861756e-05,1.78552578979e-05,False
95,dorsal,WM,-1.66537241962,0.095838478379,0.0670132129588,False
96,ventral,priming,-2.78154523462,0.00541007906693,0.00447069261077,False
97,dorsal,priming,-2.79713857715,0.00515574145946,0.00446339903491,False
106,ventral,memory,2.81538958859,0.00487181342903,0.00442847840699,True
107,dorsal,memory,3.61359144642,0.000301984779145,0.000343130205304,True
112,ventral,emotion,6.36256690369,1.98409511043e-10,5.15297844395e-10,True
113,dorsal,emotion,7.7926188899,6.66133814775e-15,2.42206255052e-14,True
