,ROI,nickname,lor_z,p,p_corr_01,reject_01
0,dorsal,social,7.2543667173,4.03455047149e-13,6.92732315954e-12,True
1,ventral,social,5.473406703,4.41465348722e-08,5.0533066917e-07,True
2,dorsal,attention,0.659838589875,0.509357416193,0.758525210679,False
3,ventral,attention,0.410316406114,0.681573858682,0.758525210679,False
4,dorsal,imagery,0.522470133983,0.601343035674,0.758525210679,False
5,ventral,imagery,1.29918233332,0.193881362912,0.432774459395,False
14,dorsal,spatial,-0.0857645669712,0.931653574119,0.820332916288,False
15,ventral,spatial,1.27688699074,0.20164214765,0.432774459395,False
24,dorsal,reward,-3.40702815503,0.000656743520596,0.00375876208288,False
25,ventral,reward,-2.80682181902,0.00500329081103,0.0190903340501,False
32,dorsal,awareness,4.78201872542,1.73543508342e-06,1.48987101911e-05,True
33,ventral,awareness,4.49025184639,7.11390107933e-06,4.88582726128e-05,True
36,dorsal,semantics,0.457144863925,0.647566925314,0.758525210679,False
37,ventral,semantics,1.30149324784,0.193089674229,0.432774459395,False
48,dorsal,fear,-1.61552514832,0.106197018813,0.303900468835,False
49,ventral,fear,-1.38177283131,0.167041463596,0.432774459395,False
50,dorsal,categorization,0.640382771086,0.521923780998,0.758525210679,False
51,ventral,categorization,0.547550381838,0.584000667228,0.758525210679,False
52,dorsal,switching,-0.405991255746,0.684749025366,0.758525210679,False
53,ventral,switching,-0.885342824638,0.375971759399,0.649903937455,False
56,dorsal,language,-0.128969065159,0.897382126791,0.820332916288,False
57,ventral,language,0.169749659716,0.865207017957,0.820332916288,False
62,dorsal,inhibition,0.221768310231,0.824494249964,0.820332916288,False
63,ventral,inhibition,-1.21119484044,0.225820739723,0.456157894241,False
64,dorsal,math,0.193024230408,0.846939991802,0.820332916288,False
65,ventral,math,0.880642550165,0.378511320591,0.649903937455,False
78,dorsal,decision-making,10.6062596016,0.0,0.0,True
79,ventral,decision-making,0.00353399755266,0.997180283784,0.856079273629,False
80,dorsal,reading,0.616079515479,0.537842041069,0.758525210679,False
81,ventral,reading,-0.314170008999,0.753391919654,0.808483703779,False
92,dorsal,learning,-2.26757095909,0.0233553693958,0.0802023385051,False
93,ventral,learning,-1.7189964948,0.0856150101787,0.267274495412,False
94,dorsal,WM,-1.0904547168,0.275512890252,0.525617369515,False
95,ventral,WM,-0.675365636769,0.499443492007,0.758525210679,False
96,dorsal,priming,0.442017970621,0.658476201876,0.758525210679,False
97,ventral,priming,-0.560956898568,0.57482692019,0.758525210679,False
106,dorsal,memory,3.03084742915,0.00243868441681,0.0104680528592,True
107,ventral,memory,3.04567670518,0.00232157314943,0.0104680528592,True
112,dorsal,emotion,-0.202929907933,0.839189817455,0.820332916288,False
113,ventral,emotion,-0.100314266584,0.920094831529,0.820332916288,False
