,ROI,nickname,lor_z,p,p_corr_01,reject_01
0,MPFC,social,11.8771795572,0.0,0.0,True
1,PCC,social,6.09921014226,1.06593867066e-09,3.92189292328e-09,True
2,lTPJ,social,7.25641819918,3.97459842816e-13,2.27479516705e-12,True
3,rTPJ,social,7.79889737292,6.2172489379e-15,4.57500703988e-14,True
4,MPFC,attention,-0.75122550274,0.452516954537,0.416234791575,False
5,PCC,attention,-0.657921804572,0.510588378793,0.438340123194,False
6,lTPJ,attention,0.478788586033,0.632089037453,0.493316762412,False
7,rTPJ,attention,0.623281679261,0.53309943494,0.4429024499,False
8,MPFC,imagery,-2.19344064959,0.028275646288,0.0373456035974,False
9,PCC,imagery,-2.32667493325,0.0199825729736,0.0278189819965,False
10,lTPJ,imagery,-0.665446061532,0.50576523203,0.438340123194,False
11,rTPJ,imagery,0.638094647024,0.523412070909,0.441982881517,False
28,MPFC,spatial,-3.56577722438,0.000362779446273,0.0007474707711,False
29,PCC,spatial,-0.760927936119,0.446700111493,0.416234791575,False
30,lTPJ,spatial,-0.200509551148,0.841082088938,0.59924105773,False
31,rTPJ,spatial,0.0806888007531,0.935689443479,0.610093205488,False
48,MPFC,reward,6.38407343212,1.72438285873e-10,6.83253546561e-10,True
49,PCC,reward,0.924679358895,0.355132719354,0.373324211713,False
50,lTPJ,reward,-2.37876304764,0.0173708381226,0.0248547742137,False
51,rTPJ,reward,-3.38352009096,0.000715629713893,0.0014177725601,False
64,MPFC,awareness,7.02930371499,2.07567296684e-12,1.06917914522e-11,True
65,PCC,awareness,5.43285011718,5.54609906889e-08,1.90453042026e-07,True
66,lTPJ,awareness,5.34791795142,8.89717794994e-08,2.69584491883e-07,True
67,rTPJ,awareness,5.04741951109,4.47817330773e-07,1.21405635306e-06,True
72,MPFC,semantics,-1.13097800215,0.258064350332,0.309137085712,False
73,PCC,semantics,1.14950793539,0.25034659652,0.307032218732,False
74,lTPJ,semantics,3.60904454927,0.000307326834691,0.00068426698314,True
75,rTPJ,semantics,0.735190449378,0.462223514722,0.417704091989,False
96,MPFC,fear,3.69426352659,0.00022052500882,0.000521180990493,True
97,PCC,fear,-3.14906390255,0.00163794374176,0.00301323150493,False
98,lTPJ,fear,-6.72409913257,1.76683112585e-11,8.27358829932e-11,False
99,rTPJ,fear,-2.63271375046,0.00847057039672,0.012466259461,False
100,MPFC,categorization,-1.10548502922,0.268949477851,0.31485426373,False
101,PCC,categorization,0.146261641218,0.88371484603,0.606935356253,False
102,lTPJ,categorization,1.68119140067,0.0927257432905,0.116495196022,False
103,rTPJ,categorization,0.574127995112,0.565881190347,0.455445939293,False
104,MPFC,switching,-0.0857954582731,0.931629016941,0.610093205488,False
105,PCC,switching,0.951056069299,0.341575913867,0.366553652569,False
106,lTPJ,switching,0.781446269407,0.434540066731,0.414502941432,False
107,rTPJ,switching,-0.223889984318,0.822842909278,0.59924105773,False
112,MPFC,language,-4.42784884252,9.51775622582e-06,2.45129811596e-05,False
113,PCC,language,-1.93089278067,0.0534963131627,0.0688898772753,False
114,lTPJ,language,-0.395596749079,0.692402535732,0.532323203217,False
115,rTPJ,language,-0.10049378604,0.919952315888,0.610093205488,False
124,MPFC,inhibition,0.229787095818,0.818257212487,0.59924105773,False
125,PCC,inhibition,-0.901648683766,0.367243520841,0.37833427517,False
126,lTPJ,inhibition,-0.211722018306,0.832323909369,0.59924105773,False
127,rTPJ,inhibition,-0.0263715655424,0.978960973669,0.630328496921,False
128,MPFC,math,-5.26545964382,1.39839036795e-07,4.00172710294e-07,False
129,PCC,math,-2.94495789658,0.00322998613073,0.00573712364118,False
130,lTPJ,math,3.59950802546,0.000318819794125,0.00068426698314,True
131,rTPJ,math,0.160033314846,0.87285483096,0.606935356253,False
156,MPFC,decision-making,42.5443104968,0.0,0.0,True
157,PCC,decision-making,21.9066082999,0.0,0.0,True
158,lTPJ,decision-making,13.1447928733,0.0,0.0,True
159,rTPJ,decision-making,10.3240841795,0.0,0.0,True
160,MPFC,reading,-5.35213065356,8.6924598186e-08,2.69584491883e-07,False
161,PCC,reading,-2.75550476768,0.00586016504548,0.00943303442165,False
162,lTPJ,reading,2.72192083565,0.00649036881886,0.0101308756927,True
163,rTPJ,reading,-0.190082155819,0.849244752752,0.59924105773,False
184,MPFC,learning,0.972861506978,0.330622138415,0.362347794676,False
185,PCC,learning,-0.486451659899,0.626646970898,0.493316762412,False
186,lTPJ,learning,-0.584902420821,0.558613330747,0.455445939293,False
187,rTPJ,learning,-2.28435497846,0.0223506772239,0.0302969311528,False
188,MPFC,WM,-2.83052889006,0.00464711141226,0.00797909029486,False
189,PCC,WM,0.783893988536,0.433102317426,0.414502941432,False
190,lTPJ,WM,1.06780833002,0.285606979765,0.326924789504,False
191,rTPJ,WM,-0.800854060895,0.42321613778,0.414502941432,False
192,MPFC,priming,-2.77349331874,0.00554579791589,0.00921496937573,False
193,PCC,priming,0.242166173538,0.808651404648,0.59924105773,False
194,lTPJ,priming,1.02783282489,0.304028472717,0.340445796296,False
195,rTPJ,priming,-0.808894576674,0.418575788697,0.414502941432,False
212,MPFC,memory,3.28743653809,0.00101103973915,0.0019288391468,True
213,PCC,memory,6.65255320586,2.88051804631e-11,1.23646237138e-10,True
214,lTPJ,memory,7.27217042279,3.53717055646e-13,2.27479516705e-12,True
215,rTPJ,memory,3.6918860479,0.000222597200366,0.000521180990493,True
224,MPFC,emotion,8.639818866,0.0,0.0,True
225,PCC,emotion,2.6413514602,0.00825760079806,0.012466259461,True
226,lTPJ,emotion,0.682039327349,0.495214083569,0.438340123194,False
227,rTPJ,emotion,-0.123260069131,0.90190115987,0.610093205488,False
