,region,topic_name,hi_ci,low_ci,mean
1,dorsal,WM,0.713726441591,0.294613188364,0.541092040389
4,dorsal,attention,0.40486668139,-0.582862634972,-0.0826515124513
6,dorsal,awareness,0.494517381506,-0.325133969383,0.116571789614
8,dorsal,categorization,-0.14202579681,-1.2415135956,-0.543372231967
13,dorsal,decision-making,0.0686545993046,-0.0313787289193,0.0109427073509
17,dorsal,emotion,-0.640846058984,-1.28225384959,-0.894454767368
20,dorsal,fear,0.288464363078,-0.216029380433,0.0428884365629
24,dorsal,imagery,-0.0417946245287,-0.974323865978,-0.484899481359
25,dorsal,inhibition,0.372349379081,-0.785140177964,-0.296745618523
26,dorsal,language,0.691625569835,-0.222687007302,0.268746050769
27,dorsal,learning,-0.484889762248,-1.15312100059,-0.836901753109
28,dorsal,math,0.77118644372,0.0943047096435,0.499691880308
29,dorsal,memory,-0.0366117401939,-0.760929917889,-0.331135357592
41,dorsal,priming,0.689076716546,0.244232497202,0.456354931402
43,dorsal,reading,0.236277896411,-0.37591437377,-0.0511958055226
44,dorsal,reward,0.437311648037,-0.122477367842,0.139260074498
47,dorsal,semantics,0.102909222115,-0.57967969877,-0.199894564821
52,dorsal,social,1.29764326283,0.880248980643,1.09928076028
53,dorsal,spatial,1.31762043081,0.585829642701,0.92786118588
56,dorsal,switching,0.826088999144,-0.125293330949,0.390660040582
61,ventral,WM,0.709366654424,0.399234111075,0.554455000493
64,ventral,attention,0.807993786487,-0.102304975435,0.379189632828
66,ventral,awareness,0.952547539079,0.306977346834,0.616783365119
68,ventral,categorization,-0.081528889114,-0.97220234761,-0.525704194524
73,ventral,decision-making,0.10403432197,-0.00713563863192,0.0399925944131
77,ventral,emotion,-0.580154622256,-1.11216826769,-0.874994265298
80,ventral,fear,0.117468431659,-0.591181453851,-0.217214754948
84,ventral,imagery,-0.104470468463,-0.922672636218,-0.464352535544
85,ventral,inhibition,0.286087367209,-0.616358993565,-0.125926068275
86,ventral,language,0.55208274267,-0.575833738209,-0.000747671700406
87,ventral,learning,-0.546135704038,-1.15758587371,-0.868723817074
88,ventral,math,1.19142147821,0.653173594603,0.933512324761
89,ventral,memory,-0.146448242694,-0.762541010217,-0.418435627963
101,ventral,priming,0.536786779976,0.135199185554,0.337175147861
103,ventral,reading,0.324500491611,-0.193929198384,0.098112557623
104,ventral,reward,0.360971350096,-0.301632014718,0.04567259241
107,ventral,semantics,0.313019778191,-0.534247605756,-0.0404175192498
112,ventral,social,0.990469501151,0.501672564609,0.710986924745
113,ventral,spatial,1.26869649875,0.569114349877,0.93164037687
116,ventral,switching,1.22220596522,0.139332675268,0.682887830297
