,region,topic_name,hi_ci,low_ci,mean
1,dorsal,WM,0.939127132561,0.557859174923,0.759819416355
4,dorsal,attention,0.069865253564,-1.30751621383,-0.561368975157
6,dorsal,awareness,0.243404989901,-0.779387502234,-0.258191691979
8,dorsal,categorization,0.502843621522,-0.545098723439,0.0260322592061
13,dorsal,decision-making,0.140579710503,0.0271399475207,0.0805921717868
17,dorsal,emotion,-0.0577783076183,-0.674248805183,-0.345911694
20,dorsal,fear,0.324137221825,-0.303976510176,0.0014528872289
24,dorsal,imagery,0.109697174425,-0.819861267478,-0.331435047848
25,dorsal,inhibition,-0.316116196443,-1.64535987252,-0.881044580745
26,dorsal,language,0.78528144528,-0.537632487786,0.195217202607
27,dorsal,learning,0.119541268825,-0.608707342928,-0.208818970013
28,dorsal,math,0.542145117175,-0.12947872099,0.234731060348
29,dorsal,memory,0.125327936222,-0.75019976657,-0.300336397927
41,dorsal,priming,0.647072021375,0.210275859327,0.413197770891
43,dorsal,reading,0.127280934023,-0.574198184549,-0.25823355121
44,dorsal,reward,0.45468383072,-0.192032932684,0.107866461817
47,dorsal,semantics,0.485626457165,-0.581730514031,-0.133958309361
52,dorsal,social,0.992140744849,0.536964728267,0.739439217002
53,dorsal,spatial,1.04847216309,0.490799806525,0.787086953325
56,dorsal,switching,0.903153019928,-0.095902983111,0.35767945442
61,ventral,WM,0.779970685822,0.314491958626,0.537715595438
64,ventral,attention,0.304222667974,-1.69718203178,-0.411082366928
66,ventral,awareness,0.257942229893,-0.932973168851,-0.254802770786
68,ventral,categorization,0.692322890343,-0.488954734389,0.075216964466
73,ventral,decision-making,0.127846511235,-0.00225937895307,0.0629921712252
77,ventral,emotion,0.080135116274,-0.615362381391,-0.234718073149
80,ventral,fear,0.0520071664806,-0.683325063735,-0.285202748028
84,ventral,imagery,0.169473992536,-0.907728493368,-0.321508711276
85,ventral,inhibition,0.0858838375914,-1.32439940222,-0.37728274473
86,ventral,language,0.506733800004,-1.20752500814,-0.19015444247
87,ventral,learning,0.184781012434,-0.70705350849,-0.175191010362
88,ventral,math,0.337667322324,-0.4397101412,-0.03462986917
89,ventral,memory,-0.0150599962546,-0.887384310943,-0.46290919586
101,ventral,priming,0.681662364163,0.232523887007,0.445587777847
103,ventral,reading,0.151387462669,-0.778052989835,-0.227220277221
104,ventral,reward,0.592890130984,-0.202364004402,0.207941976642
107,ventral,semantics,0.116058967214,-0.652996340527,-0.293698822164
112,ventral,social,0.765353740302,0.415320098412,0.602783823076
113,ventral,spatial,1.18614394192,0.404920266297,0.822141509545
116,ventral,switching,0.368354617547,-0.921742543424,-0.282422251275
