,region,topic_name,hi_ci,low_ci,mean
0,MPFC,Alzheimer-Parkinson,-0.0206798795642,-0.98245197965,-0.503884824135
3,MPFC,adhd,-0.211772120719,-0.795689067097,-0.440651862799
5,MPFC,autism,0.0519754365862,-0.453038641065,-0.190301726835
14,MPFC,depression,0.919964893819,0.323321200531,0.63890856042
16,MPFC,eating-disorder,-0.220281610179,-0.757803360792,-0.473240430608
42,MPFC,ptsd,0.957297175523,0.358186303,0.677850897728
46,MPFC,schizopherenia,-0.281215235702,-1.20428034746,-0.678516439752
51,MPFC,smoking,0.0536482167595,-0.600097612217,-0.176944943946
60,PCC,Alzheimer-Parkinson,0.340158981529,-0.6390019246,-0.136235575901
63,PCC,adhd,0.0340132747251,-0.623015493093,-0.244647817313
65,PCC,autism,0.492158928687,-0.0914331596923,0.168093976077
74,PCC,depression,0.718921882952,-0.0368922750469,0.36320539603
76,PCC,eating-disorder,0.0758658068591,-0.623972381776,-0.273758110194
102,PCC,ptsd,0.293673585885,-0.219339011071,0.0915945158137
106,PCC,schizopherenia,-0.216956965678,-1.10823943325,-0.588208065332
111,PCC,smoking,0.18617190664,-0.338103428208,-0.0919597946521
120,lTPJ,Alzheimer-Parkinson,0.56557014372,-0.22772783426,0.20188328255
123,lTPJ,adhd,-0.0616125763828,-0.821307209842,-0.451900995445
125,lTPJ,autism,0.777254236561,0.290440819493,0.537684291476
134,lTPJ,depression,0.466234609461,-0.282680873844,0.196257851332
136,lTPJ,eating-disorder,0.483520355853,-0.0559531608201,0.209901083182
162,lTPJ,ptsd,-0.0128120066091,-0.601225707363,-0.283476807433
166,lTPJ,schizopherenia,-0.102211064225,-1.08858971234,-0.517248576082
171,lTPJ,smoking,0.126328234287,-0.349782824824,-0.10323867218
180,rTPJ,Alzheimer-Parkinson,0.421201840472,-0.602138626528,-0.0482051479139
183,rTPJ,adhd,-0.10306045936,-0.785732588925,-0.402339873976
185,rTPJ,autism,0.340558532525,-0.194707675707,0.0999818313508
194,rTPJ,depression,0.771670299581,0.0733024753203,0.411262287254
196,rTPJ,eating-disorder,0.45332883621,-0.166034384018,0.127650295439
222,rTPJ,ptsd,0.0649573303894,-0.907302369425,-0.401345417506
226,rTPJ,schizopherenia,0.189678138369,-0.9454902215,-0.346720937972
231,rTPJ,smoking,0.0956518589053,-0.405610592092,-0.15074361133
