,ROI,nickname,lor_z,p,p_corr_01,reject_01
0,dorsal,social,2.30986780825,0.0208954737908,0.0595889746692,False
1,medial,social,7.6309255363,2.33146835171e-14,2.82573964228e-13,True
2,ventral,social,1.75887656429,0.0785984765571,0.15241816574,False
3,dorsal,attention,-0.223155535516,0.823414456839,0.725802415774,False
4,medial,attention,-0.374025924238,0.708385028933,0.673382474562,False
5,ventral,attention,-0.127002768509,0.898938207342,0.77822364807,False
6,dorsal,imagery,-1.15082595091,0.249803846326,0.336402513053,False
7,medial,imagery,-3.03748658156,0.00238560025596,0.00889645387762,False
8,ventral,imagery,-0.250126076397,0.802489850725,0.720457554873,False
21,dorsal,spatial,-1.45630473203,0.145308397994,0.234818371159,False
22,medial,spatial,-1.63397710429,0.102263658201,0.183620079614,False
23,ventral,spatial,0.0166400509329,0.986723772951,0.797272808544,False
36,dorsal,reward,1.48713408547,0.136979400678,0.228991770513,False
37,medial,reward,-1.17671711763,0.239308433274,0.331476367004,False
38,ventral,reward,0.529177006954,0.596682665437,0.602649492092,False
48,dorsal,awareness,3.20090487204,0.00136996752755,0.00553466881131,True
49,medial,awareness,5.93703291153,2.90226420674e-09,2.34502947905e-08,True
50,ventral,awareness,5.97496966146,2.30133001544e-09,2.23136958297e-08,True
54,dorsal,semantics,0.841736032042,0.399935724706,0.51023378773,False
55,medial,semantics,0.768908775371,0.441947467582,0.549374698163,False
56,ventral,semantics,0.28422972488,0.776234337264,0.710034729633,False
72,dorsal,fear,-3.36345823675,0.000769724815461,0.00339238718669,False
73,medial,fear,-2.7560635725,0.00585016253833,0.0202582771327,False
74,ventral,fear,-0.983426581068,0.32539753327,0.426358713863,False
75,dorsal,categorization,0.106461778823,0.915215979101,0.778415274856,False
76,medial,categorization,0.335917114377,0.736933370825,0.687048650338,False
77,ventral,categorization,0.679609971635,0.496751454081,0.562010341101,False
78,dorsal,switching,2.01694041914,0.0437017313781,0.100888568439,False
79,medial,switching,0.378127030125,0.705336229291,0.673382474562,False
80,ventral,switching,-0.713418815898,0.475586633255,0.562010341101,False
84,dorsal,language,-1.23913262324,0.215296387297,0.314519434996,False
85,medial,language,-1.92931999605,0.0536911488475,0.11398047855,False
86,ventral,language,0.0300831052764,0.97600077467,0.797272808544,False
93,dorsal,inhibition,0.0382079351237,0.969521894203,0.797272808544,False
94,medial,inhibition,-2.53487175043,0.0112488500661,0.0363562834138,False
95,ventral,inhibition,-1.2263889582,0.220052339215,0.314519434996,False
96,dorsal,math,-1.92623612509,0.0540748970019,0.11398047855,False
97,medial,math,-2.04286936676,0.041065371496,0.0995424605064,False
98,ventral,math,-3.5350517749,0.000407695267276,0.00197650665575,False
117,dorsal,decision-making,23.9602901918,0.0,0.0,True
118,medial,decision-making,10.1113749255,0.0,0.0,True
119,ventral,decision-making,8.7222690097,0.0,0.0,True
120,dorsal,reading,-1.50031362313,0.133533182217,0.228991770513,False
121,medial,reading,-2.0846716338,0.0370991172115,0.0946613264429,False
122,ventral,reading,-1.83205343291,0.0669434602485,0.135225789702,False
138,dorsal,learning,0.631478330741,0.527727813381,0.568538764283,False
139,medial,learning,-2.15042323997,0.0315217516938,0.0848985845619,False
140,ventral,learning,-0.456858842789,0.647772508142,0.640898187647,False
141,dorsal,WM,0.63637026827,0.524535114862,0.568538764283,False
142,medial,WM,0.728384855293,0.466378031408,0.562010341101,False
143,ventral,WM,1.22499046876,0.220578811672,0.314519434996,False
144,dorsal,priming,0.532583221958,0.594322118943,0.602649492092,False
145,medial,priming,0.548992272255,0.583010753116,0.602649492092,False
146,ventral,priming,-0.676878936273,0.498482769541,0.562010341101,False
159,dorsal,memory,4.86259609679,1.15856101002e-06,6.24078197396e-06,True
160,medial,memory,5.12406703046,2.99014602412e-07,2.07088970356e-06,True
161,ventral,memory,4.92864667017,8.28011627707e-07,5.0177504639e-06,True
168,dorsal,emotion,1.34714690843,0.177932923014,0.278264132507,False
169,medial,emotion,2.45599016558,0.0140497002252,0.0425705916824,True
170,ventral,emotion,1.70337129951,0.0884986052107,0.165015860793,False
