,ROI,nickname,lor_z,p,p_corr_01,reject_01
0,ventral,social,7.25594486887,3.98792110445e-13,5.90744046273e-12,True
1,posterior,social,2.34023557861,0.0192715795769,0.0376069899046,True
2,dorsal,social,3.77005400897,0.000163212223415,0.000604429267381,True
3,ventral,attention,0.222492570768,0.823930456016,0.680010900928,False
4,posterior,attention,0.847523510274,0.396703388432,0.518514664174,False
5,dorsal,attention,0.277603243333,0.781316942151,0.680010900928,False
6,ventral,imagery,-0.160863131892,0.87220120056,0.680010900928,False
7,posterior,imagery,-0.665084800865,0.505996255513,0.568223468295,False
8,dorsal,imagery,0.584774131087,0.558699600754,0.605575859939,False
21,ventral,spatial,-0.710103704566,0.477639829213,0.568223468295,False
22,posterior,spatial,0.491224730239,0.623267509627,0.657503597611,False
23,dorsal,spatial,-1.14757260979,0.251145042389,0.372029522792,False
36,ventral,reward,-2.85373106314,0.00432090928366,0.0106678449203,False
37,posterior,reward,-0.181744017955,0.855783619867,0.680010900928,False
38,dorsal,reward,-3.83460460748,0.000125766440139,0.000508096418163,False
48,ventral,awareness,5.16645316481,2.38577949396e-07,1.1780448968e-06,True
49,posterior,awareness,5.58911368302,2.28231507027e-08,1.44894402461e-07,True
50,dorsal,awareness,3.26209647665,0.00110591498553,0.00327645746381,True
54,ventral,semantics,3.28747629231,0.00101089700342,0.00320887591656,True
55,posterior,semantics,2.20251621782,0.0276288648233,0.0511594480312,False
56,dorsal,semantics,1.87490202616,0.0608062032794,0.108089106949,False
72,ventral,fear,-6.09271892989,1.11008868764e-09,1.23330853197e-08,False
73,posterior,fear,-2.89383834611,0.00380564032231,0.0099483915249,False
74,dorsal,fear,-3.69558113423,0.00021938440587,0.000749957153603,False
75,ventral,categorization,-0.174317419001,0.861616010436,0.680010900928,False
76,posterior,categorization,1.12405675118,0.260988951155,0.374140289978,False
77,dorsal,categorization,1.30432878039,0.192121506477,0.294409646477,False
78,ventral,switching,-0.473020784805,0.636198350524,0.657503597611,False
79,posterior,switching,0.656578049666,0.511452266692,0.568223468295,False
80,dorsal,switching,0.336626382028,0.736398565799,0.675775594985,False
84,ventral,language,0.203209860557,0.838971006018,0.680010900928,False
85,posterior,language,-0.344139676972,0.730741245272,0.675775594985,False
86,dorsal,language,-0.0575555075442,0.954102690722,0.718649552131,False
93,ventral,inhibition,-0.687575501066,0.49172014032,0.568223468295,False
94,posterior,inhibition,-0.72553686844,0.468122735241,0.568223468295,False
95,dorsal,inhibition,1.63413684464,0.102230119929,0.168263204801,False
96,ventral,math,1.5486171611,0.121473778084,0.192796239217,False
97,posterior,math,0.305055901643,0.760323576716,0.675775594985,False
98,dorsal,math,1.80396709378,0.07123646569,0.121759559049,False
117,ventral,decision-making,8.27374087606,2.22044604925e-16,4.93383112143e-15,True
118,posterior,decision-making,5.07499201514,3.87512274047e-07,1.72210454587e-06,True
119,dorsal,decision-making,13.9522589794,0.0,0.0,True
120,ventral,reading,2.71618176637,0.00660396498562,0.0154463265243,True
121,posterior,reading,0.314056368439,0.753478227075,0.675775594985,False
122,dorsal,reading,2.52565419892,0.0115483089513,0.0256603424898,True
138,ventral,learning,-0.0786226591826,0.937332763905,0.718190828068,False
139,posterior,learning,-0.757549720415,0.448720589901,0.568223468295,False
140,dorsal,learning,-0.22138876365,0.82478974069,0.680010900928,False
141,ventral,WM,-0.0302926571318,0.975833652647,0.722767458727,False
142,posterior,WM,-0.39625097926,0.691919886565,0.668454777368,False
143,dorsal,WM,2.33653138902,0.019463563632,0.0376069899046,True
144,ventral,priming,0.942286795598,0.346045826669,0.466008379914,False
145,posterior,priming,2.49114583656,0.0127331842723,0.0269458432886,True
146,dorsal,priming,0.993336267616,0.320546108879,0.445158408706,False
159,ventral,memory,5.21757272071,1.81283058787e-07,1.00702739156e-06,True
160,posterior,memory,5.70587791195,1.15744942519e-08,1.02874104911e-07,True
161,dorsal,memory,5.62148544913,1.89322446609e-08,1.40224825455e-07,True
168,ventral,emotion,3.09610586109,0.00196080344695,0.0054461315739,True
169,posterior,emotion,-0.441086202973,0.659150591469,0.658257365907,False
170,dorsal,emotion,-0.430884659597,0.666552238205,0.658257365907,False
